epsilon,dL_depsilon,dG_depsilon,dR_depsilon,jacobian_core_factor_K
0.0,0.0,0.0,0.4999998935906993,1.5864292078709339
0.0014306137339055794,-0.004230330867492035,-5.520718407560158e-11,0.5000002054819734,1.5864306033165942
0.0028612274678111588,-0.010575924531682655,-7.150921451677444e-10,0.5000006733182228,1.5864345228718577
0.004291841201716738,-0.016423015245793208,-2.7808714234456285e-09,0.500001461848536,1.586441058844027
0.0057224549356223176,-0.02218879268255587,-6.964637645130499e-09,0.5000025446621952,1.5864502008470716
0.007153068669527897,-0.02793673379485059,-1.3968843695061382e-08,0.500003952569735,1.5864619972195544
0.008583682403433476,-0.03356026789915108,-2.4496012116140364e-08,0.5000056789582442,1.5864763216782858
0.010014296137339056,-0.03931781256492309,-3.924942919207466e-08,0.5000076776108746,1.5864933702528605
0.011444909871244635,-0.04499469953373767,-5.893363378236059e-08,0.5000100145510906,1.586512973902976
0.012875523605150214,-0.05060907853976525,-8.425256785791912e-08,0.5000126809828614,1.5865351291839362
0.014306137339055794,-0.05622882903445856,-1.1591086581583696e-07,0.5000156680831991,1.586559926048234
0.015736751072961373,-0.06191216026367062,-1.5461373934902492e-07,0.5000189186135623,1.5865873953935037
0.017167364806866953,-0.06757834675056174,-2.010658909789527e-07,0.5000225096189254,1.5866174872393508
0.018597978540772532,-0.07317797395579335,-2.559728499848053e-07,0.5000264344775305,1.5866500750629704
0.02002859227467811,-0.07890935533562195,-3.2004023758764744e-07,0.5000305853344948,1.5866854878187322
0.02145920600858369,-0.08452516398744316,-3.939738248397959e-07,0.5000351404777365,1.5867233371903542
0.02288981974248927,-0.0901240678675999,-4.784799206545728e-07,0.5000400074430803,1.5867637551080924
0.02432043347639485,-0.0958148064847821,-5.742648457431481e-07,0.5000451201898367,1.5868069790383383
0.02575104721030043,-0.1015388895219002,-6.820356238974812e-07,0.500050494097845,1.5868528576976946
0.02718166094420601,-0.10711665421316154,-8.024992202854199e-07,0.5000563471060472,1.586901081752484
