case,min,median,max
1,0.4030026899173141,0.5054124745433598,0.8425369142352034
2,2.582096300541687,3.1393535936686234,3.4095454016608615
3,0.8982982443589039,1.0773287803303195,1.1876174058251934
4,0.29253824440787085,0.5471547811250791,0.9237213439422718
5,0.9262573527874065,1.4835692767281266,2.6024238236313106
