fraction1_cutoff,fraction2_cutoff,determinant,singular_value_max,singular_value_min,condition_number
0.1,0.13,0.0020244043112670586,0.06799586855415776,0.02977246050845939,2.283851162883826
0.1,0.14,0.003582942098046573,0.09015236576699714,0.039743184414115645,2.2683729825881187
0.1,0.15000000000000002,0.005574597675980036,0.11206758828314813,0.049743175180100664,2.252923901166241
0.1,0.16,0.007995021276348838,0.13374949245297982,0.05977608684503619,2.237508333386102
0.1,0.17,0.010840466927364175,0.15520613211481007,0.06984560970403667,2.222131538009039
0.1,0.18,0.014107797049317054,0.17644568941640296,0.07995546446036071,2.2067996303602104
0.1,0.19,0.017794488918791544,0.19747650688820448,0.09010939680468102,2.191519573882509
0.1,0.2,0.021898642633569474,0.21830712075750391,0.10031116968417414,2.1762992241525594
0.1,0.21000000000000002,0.026418991222049017,0.23894629610810994,0.11056455635577579,2.1611473331401614
0.1,0.22,0.031354912500123185,0.2594030637182894,0.12087333145060497,2.1460735846789727
0.1,0.23,0.03670644317333835,0.2796867595737363,0.13124126157878097,2.131088624181253
0.1,0.24000000000000002,0.04247429508719545,0.29980706674917634,0.1416720944831169,2.1162040968124773
0.1,0.25,0.04865987387629887,0.3197740605691666,0.15216954680341815,2.1014326932462386
0.1,0.26,0.055265300302534424,0.33959825704909363,0.1627372907704443,2.0867881936668575
0.1,0.27,0.062293434000020374,0.3592906652789577,0.17337893805744994,2.072285534243525
0.1,0.28,0.06974790067020052,0.37886284423273103,0.1840980231551954,2.057940860741063
0.1,0.29000000000000004,0.07763312214607346,0.3983269643387043,0.1948979835571982,2.0437716033208946
0.1,0.30000000000000004,0.08595435013166351,0.41769587456044516,0.20578213807382242,2.029796553142045
0.1,0.31,0.09471770375626797,0.43698317529985986,0.21675366263534573,2.0160359459992883
0.1,0.32,0.10393021126325878,0.4562032979942946,0.22781556319340454,2.0025115562758975
0.1,0.33,0.11359985638412666,0.4753715917910746,0.23897064600792076,1.9892467955052449
0.1,0.33999999999999997,0.12373562961985334,0.4945044181989179,0.25022148451276277,1.976266822818307
0.1,0.35,0.1343475851897796,0.5136192541554999,0.26157038331959687,1.9635986598985098
0.1,0.36,0.14544690406374805,0.5327348044341622,0.2730193388026013,1.951271315689987
0.1,0.37,0.1570459636818272,0.5518711239133433,0.28456999628501506,1.9393159191688256
0.1,0.38,0.1691584153727979,0.5710497506042344,0.29622360432485856,1.9277658575039924
0.1,0.39,0.18179926988979417,0.590293849932089,0.3079809655999456,1.9166569232036763
0.1,0.4,0.19498499234469574,0.6096283712491083,0.3198423851980149,1.9060274668464796
0.1,0.41000000000000003,0.20873360752141792,0.6290802167901529,0.33180761681947274,1.8959185531066873
0.1,0.42000000000000004,0.2230648167008728,0.6486784243531953,0.3438758070661797,1.8863741240986913
0.1,0.43000000000000005,0.23800012743750315,0.6684543633498152,0.3560454392799782,1.8774411622898857
0.1,0.44000000000000006,0.25356299794678716,0.6884419458221429,0.36831427760256563,1.8691698576100686
0.1,0.45000000000000007,0.26977899798101856,0.7086778520528778,0.3806793131738638,1.8616137718237675
0.1,0.45999999999999996,0.2866759879927184,0.7292017718328353,0.39313671341220624,1.8548300043101362
0.1,0.47,0.3042843193019165,0.7500566615632086,0.4056817769843565,1.8488793535139036
0.1,0.48,0.32263705814917015,0.7712890184171827,0.4183088964643587,1.8438264759279368
0.1,0.49,0.34177023633417936,0.7929491720033758,0.43101153062648556,1.839740043267068
0.1,0.5,0.3617231328677774,0.8150915954015169,0.4437821895214014,1.8366928972083254
0.1,0.51,0.38253859047033917,0.8377752374333652,0.4566124341921306,1.8347622068496963
0.1,0.52,0.4042633723535861,0.8610638791775089,0.46949289376734726,1.8340296319888516
0.1,0.53,0.4269485648678597,0.8850265188853484,0.48241330147438116,1.8345815013401912
0.1,0.54,0.45065003355393446,0.9097377914450311,0.4953625514865334,1.836509014892222
0.1,0.55,0.47542894031550387,0.9352784297072716,0.5083287769870904,1.839908484525998
0.1,0.56,0.5013523316048989,0.9617357780931397,0.5212994494173275,1.844881630257046
0.1,0.5700000000000001,0.5284938094414608,0.9892043720273525,0.534261497811948,1.8515359539824776
0.1,0.58,0.5569342985095157,1.0177865989402513,0.5472014458526098,1.8599852150507565
0.1,0.59,0.5867629263374582,1.0475934619558631,0.5601055635093104,1.870350037932536
0.1,0.6,0.6180780357957978,1.0787454704888644,0.5729600287597945,1.882758685320287
0.1,0.61,0.6509883537367275,1.1113736875092008,0.5857510943917665,1.8973480342588713
0.1,0.62,0.6856143452772645,1.1456209694511874,0.5984652547043633,1.9142647972389213
0.1,0.63,0.7220897871841538,1.18164343941121,0.6110894057381278,1.9336670351598009
0.1,0.64,0.7605636050007761,1.219612244976697,0.6236109945053135,1.9557260146514386
0.1,0.65,0.8012020248123124,1.2597156584482352,0.6360181517464528,1.9806284694692455
0.1,0.66,0.8441911056559813,1.302161591895378,0.6482998046557403,2.0085793371275975
0.1,0.67,0.8897397326734469,1.34718061257105,0.6604457667895085,2.0398050533654364
0.1,0.6799999999999999,0.9380831719316545,1.3950295651302036,0.6724468035515072,2.074557508136551
0.1,0.69,0.9894873138546786,1.4459959325024392,0.6842946730439778,2.1131187914559564
0.1,0.7,1.0442537656156692,1.5004031008547538,0.695982143079267,2.1558068921372735
0.1,0.71,1.102725997822101,1.5586167396767197,0.7075029863023433,2.202982559582671
0.1,0.72,1.1652968085434632,1.6210525674894043,0.7188519557685965,2.255057601889912
0.1,0.73,1.2324174468402997,1.688185854723909,0.7300247442494138,2.3125049774301054
0.1,0.74,1.3046088416516302,1.7605631229321015,0.7410179303761005,2.375871150700139
0.1,0.75,1.3824755266475504,1.8388166499858702,0.7518289148938113,2.4457913410334657
0.1,0.76,1.4667230464019658,1.9236825918406817,0.7624558503690192,2.523008500635995
0.1,0.77,1.558179903825412,2.016023818069152,0.7728975669135494,2.60839715943193
0.1,0.78,1.6578254936910655,2.1168589567980813,0.7831534965365191,2.702993686627013
0.1,0.79,1.7668260180859023,2.2273997169990642,0.7932235981722737,2.8080351140981987
0.1,0.8,1.8865811758352786,2.3490993821402735,0.803108284893595,2.925009524028891
0.1,0.8099999999999999,2.0187855981992215,2.483716593954171,0.8128083546703041,3.0557222741166705
0.1,0.82,2.165510761757025,2.6334003691919445,0.8223249252530137,3.202384225896713
0.1,0.83,2.3293158133596807,2.8008050964383866,0.8316593740570273,3.3677310492821237
0.1,0.84,2.5133999550448887,2.9892486310318493,0.8408132829611088,3.5551872117250016
0.1,0.85,2.72181578280163,3.2029336011964125,0.8497883883028146,3.769095512817334
0.1,0.86,2.9597740565131003,3.447263535466314,0.8585865356861176,4.015044951423005
0.1,0.87,3.234089135038529,3.729304872527364,0.8672096397543316,4.300349882623334
0.1,0.88,3.5538471277876904,4.058479953349197,0.8756596481041958,4.634768727936489
0.1,0.89,3.9314384942199285,4.447637988947258,0.8839385093818053,5.031614690096232
0.1,0.9,4.384210202718615,4.914768589439599,0.8920481448788862,5.509532885253496
0.1,0.91,4.937219330845168,5.485857630138413,0.8999904233243105,6.0954622271148216
0.1,0.92,5.628051865149156,6.1998850000970265,0.9077671384325803,6.82981872509972
0.1,0.93,6.515771903155733,7.11810612366964,0.9153799887148378,7.776121623177733
0.1,0.94,7.69882005740851,8.342614989795193,0.9228305593421029,9.040245693361893
0.1,0.95,9.354389946728022,10.057182809101283,0.9301203054858204,10.812776314831893
0.11,0.14,0.0020165383600059773,0.06712251421654719,0.030042652358049694,2.2342406195224718
0.11,0.15000000000000002,0.0035698709652109894,0.0890063416882438,0.04010805182528367,2.219163924390244
0.11,0.16,0.00555560219572219,0.11065826151450153,0.05020503774129996,2.2041266473039856
0.11,0.17,0.007969729107359822,0.13208637115575547,0.06033725537029073,2.189134562802687
0.11,0.18,0.01080885636797487,0.15329890425012555,0.07050837330408391,2.1741943129078876
0.11,0.19,0.01407020221618554,0.17430426341769337,0.08072207724757977,2.159313404226344
0.11,0.2,0.017751605965814717,0.1951110541659382,0.09098206168635287,2.1445002514732474
0.11,0.21000000000000002,0.021851537582992422,0.2157281208164231,0.10129202210771263,2.129764184063979
0.11,0.22,0.026369109027355724,0.2361645842571311,0.1116556451946477,2.1151154860592025
0.11,0.23,0.03130408780521563,0.2564298822383969,0.1220765986083983,2.100565424999937
0.11,0.24000000000000002,0.03665691263548096,0.27653381225225643,0.1325585191081163,2.086126294355417
0.11,0.25,0.04242871149941679,0.2964865776996988,0.14310499931768045,2.0718114609086773
0.11,0.26,0.04862132232010431,0.31629883740379583,0.15371957329717587,2.0576354111542856
0.11,0.27,0.05523731606293716,0.33598175914534933,0.16440569929583854,2.043613819863809
0.11,0.28,0.06228002317786447,0.355547077629183,0.17516674189295198,2.0297636057332458
0.11,0.29000000000000004,0.06975356291068587,0.3750071573273087,0.18600595094723618,2.016103008627321
0.11,0.30000000000000004,0.07766287622728119,0.3943750607507649,0.19692643870389703,2.0026516670204755
0.11,0.31,0.08601376246286417,0.4136646226899223,0.20793115423684408,1.9894307046395627
0.11,0.32,0.09481292009394036,0.43289053094399677,0.21902285524052345,1.9764628237934854
0.11,0.33,0.1040679920762298,0.45206841421557575,0.23020407709042762,1.9637724054643764
0.11,0.33999999999999997,0.11378761601975351,0.4712149378301045,0.24147709863302214,1.9513856199929742
0.11,0.35,0.12398147996075136,0.49034790762788577,0.2528439053824578,1.9393305402642538
0.11,0.36,0.13466038408211503,0.5094863830788745,0.26430614939765323,1.9276372654967755
0.11,0.37,0.14583630902162836,0.52865079982145,0.27586510617383736,1.9163380507004713
0.11,0.38,0.1575224917756618,0.5478631026326664,0.2875216290688556,1.9054674405084993
0.11,0.39,0.16973350953610372,0.5671468890827341,0.29927610078337813,1.8950624109248406
0.11,0.4,0.18248537279406504,0.5865275646666299,0.3111283830245658,1.8851625138305668
0.11,0.41000000000000003,0.19579562862141317,0.6060325097801516,0.323077764743085,1.8758100244443476
0.11,0.42000000000000004,0.20968347529676523,0.6256912592129393,0.335122909596863,1.8670500920561246
0.11,0.43000000000000005,0.22416988962901688,0.6455356941550886,0.34726180389207195,1.8589308899510277
0.11,0.44000000000000006,0.2392777686520875,0.6656002477449996,0.35949170611450565,1.8515037660785196
0.11,0.45000000000000007,0.255032087490951,0.6859221238827554,0.3718090999125486,1.8448233893255646
0.11,0.45999999999999996,0.27146007527534377,0.7065415303454838,0.38420965168545085,1.83894789536397
0.11,0.47,0.2885914115357451,0.727501925980435,0.3966881752880834,1.8339390264207083
0.11,0.48,0.3064584462647553,0.7488502837902647,0.4092386060316792,1.8298622680097199
0.11,0.49,0.32509644590816406,0.7706373698651894,0.421853985571754,1.8267869837017578
0.11,0.5,0.34454386993448893,0.7929180407364427,0.43452646078589036,1.8247865487923578
0.11,0.51,0.3648426815982709,0.8157515610664953,0.44724729808826086,1.8239384889598884
0.11,0.52,0.3860386982810066,0.8392019453653884,0.46000691539498934,1.8243246292173665
0.11,0.53,0.40818198688772755,0.8633383283426342,0.4727949327482328,1.8260312633307536
0.11,0.54,0.4313273116833295,0.8882353708621913,0.4856002427201804,1.8291493552115525
0.11,0.55,0.4555346421868446,0.9139737095250999,0.4984111002750178,1.8337747875614714
0.11,0.56,0.4808697307972906,0.9406404612335877,0.5112152311273765,1.8400086772829618
0.11,0.5700000000000001,0.5074047718390075,0.9683297969587698,0.5239999568665675,1.8479577798998699
0.11,0.58,0.5352191548905503,0.9971436010631872,0.5367523336858222,1.8577350082782245
0.11,0.59,0.5644003292595262,1.027192237965951,0.54945930118899,1.8694600960311012
0.11,0.6,0.5950447983888832,1.0585954503409314,0.5621078365651797,1.8832604377295157
0.11,0.61,0.627259267678701,1.0914834186947693,0.5746851092147581,1.8992721425932844
0.11,0.62,0.6611619745712263,1.1259980178228017,0.5871786309620958,1.9176413419164235
0.11,0.63,0.6968842339431676,1.1622943101349905,0.5995763963279064,1.9385257946334091
0.11,0.64,0.734572242438272,1.2005423261109998,0.6118670091522912,1.9620968415575903
0.11,0.65,0.7743891920014706,1.2409291889107439,0.6240397912480483,1.988541766589832
0.11,0.66,0.8165177571083264,1.2836616538480856,0.6360848706983007,2.0180666338422237
0.11,0.67,0.8611630347252557,1.3289691476474736,0.6479932481876475,2.050899683545202
0.11,0.6799999999999999,0.9085560358088102,1.3771074125237204,0.659756840712787,2.08729539058045
0.11,0.69,0.958957853282685,1.4283628863629512,0.6713685033671555,2.1275393158886593
0.11,0.7,1.012664663834192,1.4830579836566773,0.6828220305569794,2.171953916669829
0.11,0.71,1.070013765226142,1.541557487947397,0.6941121389192425,2.2209055302615184
0.11,0.72,1.1313909076545674,1.6042763263501318,0.7052344344122936,2.2748128112704165
0.11,0.73,1.1972392549654804,1.6716890775625464,0.716185366665881,2.334156986961216
0.11,0.74,1.2680704139100636,1.7443416730164127,0.7269621734813257,2.3994944120173285
0.11,0.75,1.3444781113521582,1.82286590119528,0.7375628182361436,2.47147206465017
0.11,0.76,1.4271552910052345,1.90799752616265,0.7479859231660108,2.5508468369119055
0.11,0.77,1.5169156705895537,2.0005991180980254,0.7582307004272246,2.638509779372939
0.11,0.78,1.614721178805794,2.101689091803097,0.7682968832561624,2.7355168784439288
0.11,0.79,1.721717232131104,2.21247902180814,0.7781846585483272,2.843128552463926
0.11,0.8,1.8392785942855672,2.334422128393717,0.787894602229096,2.9628609230082494
0.11,0.8099999999999999,1.9690697196285991,2.469277053478914,0.7974276182797783,3.096553212949499
0.11,0.82,2.11312520984904,2.6191928698342366,0.8067848817803078,3.2464575489497807
0.11,0.83,2.2739586686487328,2.7868240705559812,0.8159677866551045,3.4153604053169855
0.11,0.84,2.4547123775679225,2.9754886572743207,0.8249778978544478,3.6067495444578457
0.11,0.85,2.6593668420579726,3.189389440039768,0.8338169082370868,3.825047691564561
0.11,0.86,2.893040143344568,3.433930159296193,0.8424865996510295,4.075946324509586
0.11,0.87,3.1624254546745014,3.7161774908482643,0.8509888083824108,4.366893494066161
0.11,0.88,3.4764473147719333,4.045554033830072,0.8593253941736764,4.707825535308729
0.11,0.89,3.8472758700138407,4.434909274870428,0.867498212830125,5.112297880593882
0.11,0.9,4.291949662042291,4.902233114345115,0.8755090918632595,5.599294353314112
0.11,0.91,4.835080275432728,5.473511730056385,0.8833598088192859,6.196242658325577
0.11,0.92,5.513585470783838,6.1877253239895165,0.8910520719799777,6.944291493806837
0.11,0.93,6.385479291310145,7.106129642548139,0.8985875029744631,7.908110917440712
0.11,0.94,7.547452276071265,8.33081900496726,0.9059676211391808,9.195493095539033
0.11,0.95,9.173547931436623,10.04556495996644,0.91319382911713,11.000473984453473
0.12000000000000001,0.15000000000000002,0.002009904789588955,0.0662838125424517,0.030322709459443115,2.185946233832002
0.12000000000000001,0.16,0.003558989384089808,0.08790667367833697,0.04048599765147133,2.1712858464077467
0.12000000000000001,0.17,0.005540027586945659,0.1093071431895418,0.05068312486530808,2.156677266447734
0.12000000000000001,0.18,0.007949365195009687,0.13049350642760407,0.0609177070387014,2.1421276796367392
0.12000000000000001,0.19,0.010783960534019555,0.15147422654894507,0.07119336919363634,2.1276451482013115
0.12000000000000001,0.2,0.014041391488075237,0.1722579791506591,0.08151373630010164,2.113238663437935
0.12000000000000001,0.21000000000000002,0.01771986455710034,0.1928536889693351,0.0918824247117093,2.0989181508262726
0.12000000000000001,0.22,0.021818225688786705,0.21327056846213546,0.10230303152523533,2.0846945127870184
0.12000000000000001,0.23,0.02633597327410654,0.2335181590027252,0.11277912341626158,2.0705796598615374
0.12000000000000001,0.24000000000000002,0.03127327324777109,0.2536063747058651,0.12331422380073097,2.0565865549758406
0.12000000000000001,0.25,0.036630976538667294,0.27354554962250666,0.13391179856231655,2.042729263286019
0.12000000000000001,0.26,0.04241063911417241,0.29334648837986155,0.1445752405232608,2.029023000882816
0.12000000000000001,0.27,0.048614544415950194,0.31302052072188097,0.15530785107582218,2.015484204781525
0.12000000000000001,0.28,0.05524572908597893,0.3325795607737101,0.16611282111701567,2.002130591349294
0.12000000000000001,0.29000000000000004,0.062308011523054374,0.35203617098476575,0.1769932088193026,1.9889812345521656
0.12000000000000001,0.30000000000000004,0.0698060240078573,0.3714036316514914,0.18795191554120344,1.9760566450309522
0.12000000000000001,0.31,0.07774524847107481,0.3906960162869831,0.1989916590651069,1.9633788578000324
0.12000000000000001,0.32,0.08613205634321854,0.40992827349817773,0.21011494427598054,1.9509715261364158
0.12000000000000001,0.33,0.09497375288784678,0.4291163158881684,0.22132403120415914,1.9388600214512286
0.12000000000000001,0.33999999999999997,0.10427862631082054,0.4482771166738065,0.2326208999570682,1.92707154325574
0.12000000000000001,0.35,0.11405600232314765,0.46742881418097115,0.24400721321169863,1.915635230731617
0.12000000000000001,0.36,0.12431630462568193,0.486590825362545,0.25548427579385075,1.9045822833933357
0.12000000000000001,0.37,0.13507112182285252,0.5057839683023013,0.26705299156916346,1.8939460866189528
0.12000000000000001,0.38,0.14633328181237687,0.5250305946436886,0.27871381840459364,1.8837623396251217
0.12000000000000001,0.39,0.1581169339847422,0.5443547321739985,0.29046672075995,1.8740691902666153
0.12000000000000001,0.4,0.17043764051543878,0.5637822380372189,0.3023111212385997,1.8649073700211398
0.12000000000000001,0.41000000000000003,0.1833124776931185,0.5833409630270283,0.3142458515889017,1.8563203303321834
