N,c_real_over_U0,c_imag_over_U0,gamma_a_over_U0
80,-5.4481176768869146e-15,0.42352922063552556,0.18830109149455465
120,1.1112528558272348e-13,0.42646768683866826,0.1896075335684719
160,-2.94094905759812e-12,0.4266445534047382,0.1896861684437466
220,-1.1893709926496217e-13,0.426656626788865,0.1896915362703294
