epsilon,kappa_star,lambda_over_d,gamma_d_over_U0,vph_over_U0,chi
0.0,0.7968127950382154,7.885397104947646,0.40237117127437994,0.0,0.0
0.004974874371859297,0.7968177252754506,7.885348314769933,0.40237117126824246,0.002487439080664887,0.0007839795136782234
0.009949748743718593,0.7968325164775524,7.885201943006539,0.4023711711761816,0.004974896923871685,0.0015679940470927137
0.014924623115577889,0.7968571701122279,7.884957986002277,0.40237117077722445,0.007462392291728406,0.0023520786268247714
0.019899497487437186,0.7968916886269448,7.884616437656163,0.4023711697029968,0.009949943945472488,0.003136268293149057
0.024874371859296484,0.7969360754492161,7.884177289424232,0.40237116743759543,0.012437570645031875,0.003920598106887744
0.029849246231155778,0.796990334986575,7.883640530327666,0.40237116331740846,0.014925291148593867,0.004705103156271088
0.034824120603015075,0.7970544726314546,7.883006146914669,0.40237115653088446,0.017413124212120486,0.005489818563820232
0.03979899497487437,0.797128494754163,7.882274123342361,0.40237114611825,0.019901088588998497,0.006274779493214434
0.04477386934673367,0.7972124087154597,7.881444441267063,0.4023711309711736,0.022389203029455577,0.00706002115622493
0.04974874371859297,0.7973062228597896,7.880517079928168,0.40237110983238067,0.024877486280212423,0.007845578819616724
0.054723618090452265,0.7974099465221294,7.8794920160996735,0.40237108129521626,0.027365957083952626,0.008631487812111323
0.059698492462311556,0.7975235900300354,7.878369224091486,0.402371043803153,0.029854634178845478,0.009417783531362398
0.06467336683417085,0.7976471647032801,7.87714867577683,0.4023709956492479,0.032343536298129194,0.010204501450945603
0.06964824120603015,0.7977806828597839,7.875830340559781,0.4023709349755472,0.034832682169562305,0.010991677127406655
0.07462311557788945,0.7979241578202535,7.874414185357933,0.402370859772438,0.03732209051487523,0.011779346207342114
0.07959798994974875,0.7980776039072601,7.872900174642312,0.40237076787794435,0.03981178004936771,0.012567544434484301
0.08457286432160804,0.7982410364511896,7.871288270411775,0.40237065697697305,0.042301769481335356,0.013356307656861343
0.08954773869346734,0.7984144717966019,7.869578432165799,0.40237052460050304,0.04479207751145438,0.014145671834007662
0.09452261306532664,0.7985979273026548,7.867770616938213,0.4023703681247204,0.04728272283234485,0.014935673044180014
0.09949748743718594,0.7987909324839397,7.86586959323792,0.4023701847704166,0.049773742217140204,0.015726343582419467
0.10447236180904523,0.7989944759885856,7.86386576628766,0.40236997160075155,0.0522651193931918,0.016517727338122647
0.10944723618090453,0.7992080974667947,7.861763822332442,0.4023697255221111,0.054756889930976986,0.017309857136813232
0.11442211055276383,0.7994318183945055,7.859563708382376,0.40236944328176494,0.0572490724869476,0.018102769604680474
0.11939698492462311,0.7996656612892625,7.8572653689412,0.40236912146703624,0.059741685706435566,0.01889650152367206
0.12437185929648241,0.799909649716907,7.854868745993056,0.40236875650410253,0.06223474822296673,0.019691089839091822
0.1293467336683417,0.800163808299223,7.852373778982485,0.4023683446567356,0.06472827865751435,0.020486571667276163
0.13432160804020102,0.8004281627182757,7.849780404829485,0.40236788202498514,0.06722229561789504,0.021282984303308317
0.1392964824120603,0.8007027397250633,7.84708855790482,0.4023673645438023,0.06971681769795876,0.02208036522884916
0.1442713567839196,0.8009875671461737,7.844298170027596,0.4023667879816047,0.07221186347685772,0.022878752120026095
0.1492462311557789,0.8012826738917603,7.841409170452546,0.4023661479387794,0.07470745151823951,0.02367818285541714
0.1542211055276382,0.8015880899626897,7.838421485868184,0.40236543984612444,0.07720360036947338,0.02447869552410989
0.1591959798994975,0.801903846459195,7.835335040382933,0.40236465896323076,0.07970032856078493,0.0252803284338656
0.16417085427135678,0.8022299755889445,7.832149755519774,0.40236380037679953,0.08219765460441125,0.02608312011936824
0.1691457286432161,0.8025665106768939,7.8288655501963005,0.4023628589988957,0.08469559699363739,0.02688710935059175
0.17412060301507537,0.8029134861731778,7.825482340726789,0.4023618295651385,0.0871941742019368,0.027692335141241062
0.17909547738693468,0.8032709376627704,7.822000040809887,0.40236070663282497,0.08969340468199652,0.028498836757318412
0.18407035175879397,0.8036389018757231,7.818418561513633,0.40235948457898935,0.09219330686468849,0.029306653725804932
0.18904522613065328,0.8040174166982645,7.814737811255113,0.40235815759839444,0.09469389915796343,0.030115825843466983
0.19402010050251256,0.8044065255668915,7.810957653223438,0.40235671970145276,0.0971951996309172,0.030926393254121963
0.19899497487437187,0.8048062727999136,7.807077950971285,0.402355164712082,0.09969722631741695,0.03173839639160453
0.20396984924623116,0.8052166916617276,7.803098684172781,0.4023534862654896,0.1021999981191859,0.032551875792506374
0.20894472361809047,0.8056378247582234,7.799019750674202,0.40235167780588316,0.10470353334062277,0.03336687242329024
0.21391959798994975,0.8060697159244405,7.794841045446943,0.40234973258411233,0.1072078502561321,0.03418342756633036
0.21889447236180906,0.8065124101986761,7.790562460944385,0.4023476436552335,0.10971296711176348,0.03500158282885537
0.22386934673366835,0.8069659538708556,7.786183886743168,0.40234540387600504,0.11221890212110847,0.03582138015327579
0.22884422110552766,0.8074303944770448,7.781705209709215,0.4023430059022996,0.11472567346534587,0.03664286182675282
0.23381909547738694,0.8079057807957108,7.77712631414921,0.40234044218644466,0.11723329929332107,0.03746607049090506
0.23879396984924622,0.8083921629156436,7.772447081275381,0.40233770497448357,0.11974179771548013,0.0382910491530045
0.24376884422110554,0.8088895921870313,7.767667389799707,0.4023347863033547,0.12225118680770852,0.0391178411951735
0.24874371859296482,0.8093981212784145,7.762787115511865,0.40233167799799086,0.12476148460612431,0.03994649038571174
0.25371859296482413,0.8099178041798959,7.757806131378721,0.40232837166833496,0.12727270910642308,0.040777040889599644
0.2586934673366834,0.8104486962052894,7.752724307656896,0.4023248587062749,0.12978487826343324,0.041609537279126634
0.2636683417085427,0.8109908540341642,7.747541511627082,0.4023211302824865,0.13229800998692362,0.042444024545515005
0.26864321608040204,0.8115443357072343,7.742257607779366,0.4023171773431956,0.13481212214172425,0.04328054810978548
0.2736180904522613,0.812109200652787,7.736872457705265,0.4023129906068471,0.13732723254492876,0.044119153834448296
0.2785929648241206,0.8126855096970512,7.731385920147389,0.4023085605606861,0.13984335896462016,0.044959888035056475
0.2835678391959799,0.8132733250872584,7.725797850932152,0.402303877457244,0.14236051911732683,0.04580279749223673
0.2885427135678392,0.8138727105099449,7.720108102952311,0.40229893131073347,0.14487873066590648,0.04664792946383394
0.2935175879396985,0.8144837311081518,7.714316526164314,0.40229371189334645,0.14739801121752721,0.04749533169724736
0.2984924623115578,0.8151064535001761,7.7084229675752765,0.40228820873145377,0.14991837832147392,0.04834505244202477
0.3034673366834171,0.8157409458040097,7.702427271180754,0.4022824111017062,0.15243984946630473,0.04919714046282509
0.3084422110552764,0.8163872776466147,7.696329278050504,0.40227630802703485,0.15496244207865073,0.0500516450522543
0.3134170854271357,0.8170455202016732,7.690128826149972,0.40226988827254545,0.157486173518839,0.050908616044637464
0.318391959798995,0.8177157461844884,7.683825750570797,0.4022631403413102,0.16001106108131083,0.05176810382898756
0.32336683417085427,0.8183980299099226,7.677419883172432,0.4022560524700493,0.16253712198783324,0.052630159363808646
0.32834170854271355,0.8190924472821213,7.6709110528710065,0.40224861262470435,0.165064373388502,0.053494834190453804
0.3333165829145729,0.8197990758387108,7.664299085420968,0.4022408084959001,0.16759283235642558,0.054362180448138765
0.3382914572864322,0.8205179947602042,7.6575838035287,0.4022326274942893,0.17012251588646413,0.0552322508883451
0.34326633165829146,0.8212492849010976,7.650765026768048,0.4022240567457838,0.1726534408913732,0.05610509889007924
0.34824120603015074,0.8219930288181568,7.643842571528142,0.40221508308666387,0.17518562419820755,0.05698077847537067
0.3532160804020101,0.8227493107952837,7.6368162509989235,0.40220569305856896,0.17771908254510477,0.0578593443249908
0.35819095477386936,0.82351821684558,7.629685875373613,0.402195872903362,0.18025383258102687,0.05874085179383349
0.36316582914572865,0.8242998347860051,7.622451251383245,0.4021856085578674,0.18278989085612096,0.059625356928684224
0.36814070351758793,0.8250942542204017,7.615112182687922,0.4021748856484798,0.18532727382383882,0.06051291648373215
0.37311557788944727,0.8259015665873211,7.607668469672622,0.4021636894856425,0.18786599783469243,0.06140358793826569
0.37809045226130655,0.8267218651847834,7.600119909463396,0.4021520050581875,0.19040607913295046,0.06229742951407376
