epsilon,kappa_star,lambda_over_d,gamma_d_over_U0,vph_over_U0,chi
0.0,0.796812136589644,7.885403621073871,0.40237117127470606,0.0,0.0
0.0014306137339055794,0.7968125442856507,7.885399586439136,0.40237117127466393,0.0007153069378201877,0.00022544565746576486
0.0028612274678111588,0.7968137673901887,7.8853874823962435,0.4023711712740344,0.0014306143218363852,0.00045089214767815653
0.004291841201716738,0.7968158059094262,7.885367308958469,0.40237117127130634,0.0021459225982429176,0.0006763403033974406
0.0057224549356223176,0.7968186480417208,7.885339183039054,0.4023711712639619,0.0028612322384244495,0.0009017909519754058
0.007153068669527897,0.7968223292607108,7.8853027537633205,0.40237117124847516,0.0035765436130079688,0.0011272449425429837
0.008583682403433476,0.7968268023283733,7.885258488820607,0.4023711712203129,0.004291857281534801,0.0013527030835243032
0.010014296137339056,0.796832102738501,7.885206037239139,0.4023711711739351,0.005007173595709758,0.0015781662282524608
0.011444909871244635,0.7968382305287284,7.885145398973247,0.40237117110279286,0.005722492982838103,0.0018036352138288859
0.012875523605150214,0.7968451621193149,7.8850768077309095,0.40237117099932973,0.0064378159835331225,0.0020291108530003845
0.014306137339055794,0.7968529093737182,7.8850001465362265,0.40237117085498175,0.007153142999931436,0.0022545939884978726
0.015736751072961373,0.796861460550143,7.884915532044624,0.4023711706601753,0.00786847454740307,0.0024800854387401075
0.017167364806866953,0.7968708511665652,7.8848226133274,0.40237117040432896,0.008583810864309692,0.0027055860820476576
0.018597978540772532,0.7968810340296789,7.884721857924876,0.4023711700758522,0.009299152686469792,0.0029310966895526526
0.02002859227467811,0.7968920446785119,7.884612914807545,0.4023711696621447,0.010014500233291385,0.003156618143971148
0.02145920600858369,0.7969038832034157,7.884495783760356,0.40237116914959714,0.010729853932000993,0.003382151283351964
0.02288981974248927,0.796916514242139,7.884370815373105,0.40237116852358934,0.011445214512130195,0.0036076968807000993
0.02432043347639485,0.7969299733592311,7.884237658541829,0.40237116776849136,0.012160582136336312,0.0038332558315363964
0.02575104721030043,0.7969442488423014,7.884096429966078,0.4023711668676617,0.012875957345202495,0.004058828950047998
0.02718166094420601,0.7969593644568691,7.883946895412417,0.4023711658034476,0.013591340345384036,0.0042844171227032525
0.028612274678111588,0.796975249393566,7.883789756282375,0.4023711645571848,0.014306732301051683,0.004510021029593905
0.030042888412017167,0.7969919747171533,7.883624310532666,0.4023711631091957,0.01502213294010394,0.004735641660988195
0.03147350214592275,0.7970095169094539,7.88345079183465,0.4023711614387902,0.0157375429480581,0.004961279800782168
0.032904115879828326,0.7970278761304472,7.883269199672554,0.4023711595242647,0.01645296277073173,0.005186936284874555
0.034334729613733905,0.7970470643415178,7.88307941686035,0.402371157342901,0.017168392703068795,0.0054126119820153
0.035765343347639485,0.7970670580645367,7.882881676777126,0.4023711548709661,0.01788383348696899,0.005638307664808496
