wavenumber_ratio_r,upper_mode_fraction_cutoff_u,min_jacobian_determinant,min_singular_value,max_condition_number
1.005,0.01,2.697962375446049e-07,6.307752967956337e-05,67.8088744562166
1.005,0.0242028985507246,6.535572596157872e-07,0.0001508553785344,28.718519358505706
1.005,0.0384057971014492,1.0388016978497238e-06,0.0002365783307311,18.56020310921135
1.005,0.0526086956521739,1.426461921182738e-06,0.0003203228477277,13.902226159999756
1.005,0.0668115942028985,1.8175147981752173e-06,0.0004021640812946,11.237543770967331
1.005,0.0810144927536231,2.2129869393679168e-06,0.000482176227678,9.51847253192327
1.005,0.0952173913043478,2.6139599463534e-06,0.000560432474229,8.322472017024118
1.005,0.1094202898550724,3.0215782202240243e-06,0.0006370051624607,7.446427018973075
1.005,0.1236231884057971,3.437057851715691e-06,0.0007119658294747,6.780606497292458
1.005,0.1378260869565217,3.861693493322699e-06,0.0007853853199235,6.260546443207729
1.005,0.1520289855072464,4.29686967173591e-06,0.0008573338793063,5.845911132803979
1.005,0.166231884057971,4.744071382706272e-06,0.0009278812628851,5.510187856078479
1.005,0.1804347826086956,5.204897522150903e-06,0.0009970968378002,5.2352509630235895
1.005,0.1946376811594203,5.681073966714022e-06,0.0010650497045798,5.00830410315784
1.005,0.2088405797101449,6.174470444619346e-06,0.0011318088170831,4.820072497142035
1.005,0.2230434782608695,6.68711874483776e-06,0.0011974431107246,4.663685500693307
1.005,0.2372463768115942,7.221233285261287e-06,0.0012620216460932,4.533960867191271
1.005,0.2514492753623188,7.779235299209356e-06,0.0013256137558524,4.426932536194597
1.005,0.2656521739130435,8.363779709629353e-06,0.0013882892059334,4.339529965170076
1.005,0.2798550724637681,8.977786900894782e-06,0.001450118374982,4.269356111631983
1.005,0.2940579710144927,9.624478507233282e-06,0.0015111724370273,4.2145300973921085
1.005,0.3082608695652174,1.030741848321095e-05,0.0015715235748871,4.173573902664343
1.005,0.322463768115942,1.1030562102953684e-05,0.0016312452051775,4.145330366362523
1.005,0.3366666666666666,1.1798311191100496e-05,0.0016904122270921,4.128902200971512
1.005,0.3508695652173913,1.2615579782933523e-05,0.0017491012979412,4.123607210596881
1.005,0.365072463768116,1.348786959619851e-05,0.0018073911402796,4.128944643098099
1.005,0.3792753623188406,1.4421360023663555e-05,0.0018653628766928,4.144570772955523
1.005,0.3934782608695652,1.5423012743970712e-05,0.0019231004121504,4.170280771074401
1.005,0.4076811594202899,1.650069606632985e-05,0.0019806908543157,4.205996165112223
1.005,0.4218840579710145,1.7663332626361635e-05,0.0020382249930762,4.251756673515938
